fid,tp_id,n,lng,lat,Tipologia,Coordinate,Indirizzo,UPL,UPL_nome,Quartiere,Circoscrizione,Id_Quartie,CAP,indizizzo_link
81,tp_081,81,13.275186,38.197802,Fontanella,"38.197802, 13.275186",Piazzetta Baglicello,49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.197802,13.275186"" title=""Piazzetta Baglicello"">Piazzetta Baglicello</a>"
82,tp_082,82,13.315455,38.147962,Fontanella,"38.147962, 13.315455","Via Trabucco, 67",38,Cruillas,Cruillas - S.Giovanni Apostolo,VI,19,90146,"<a href=""https://maps.google.com/?q=38.147962,13.315455"" title=""Via Trabucco, 67"">Via Trabucco, 67</a>"
83,tp_083,83,13.316556,38.198016,Fontanella,"38.198016, 13.316556","Via Carbone, 67",50,Partanna Mondello,Partanna Mondello,VII,22,90151,"<a href=""https://maps.google.com/?q=38.198016,13.316556"" title=""Via Carbone, 67"">Via Carbone, 67</a>"
84,tp_084,84,13.345939,38.109323,Fontanella,"38.109323, 13.345939","Corso Calatafimi, 217",18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90129,"<a href=""https://maps.google.com/?q=38.109323,13.345939"" title=""Corso Calatafimi, 217"">Corso Calatafimi, 217</a>"
85,tp_085,85,13.338787,38.101296,Fontanella,"38.101296, 13.338787",Piazza Generale Turba,18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90129,"<a href=""https://maps.google.com/?q=38.101296,13.338787"" title=""Piazza Generale Turba"">Piazza Generale Turba</a>"
86,tp_086,86,13.367454,38.165183,Fontanella,"38.165183, 13.367454","Via Morici,1 A",55,Vergine Maria,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.165183,13.367454"" title=""Via Morici,1 A"">Via Morici,1 A</a>"
87,tp_087,87,13.373589,38.151374,Fontanella,"38.151374, 13.373589","Piazza Tonnara, 1",54,Arenella,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.151374,13.373589"" title=""Piazza Tonnara, 1"">Piazza Tonnara, 1</a>"
88,tp_088,88,13.374665,38.153294,Fontanella,"38.153294, 13.374665","Via della Leva, 40",54,Arenella,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.153294,13.374665"" title=""Via della Leva, 40"">Via della Leva, 40</a>"
89,tp_089,89,13.347125,38.110888,Fontanella,"38.110888, 13.347125",Cortile Casermaggio,18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90129,"<a href=""https://maps.google.com/?q=38.110888,13.347125"" title=""Cortile Casermaggio"">Cortile Casermaggio</a>"
90,tp_090,90,13.307046,38.108705,Fontanella,"38.108705, 13.307046","Via Michele Fanara, 2",24,Boccadifalco - Baida,Boccadifalco,IV,16,90136,"<a href=""https://maps.google.com/?q=38.108705,13.307046"" title=""Via Michele Fanara, 2"">Via Michele Fanara, 2</a>"
91,tp_091,91,13.346463,38.111831,Fontanella,"38.111831, 13.346463",Via Danisinni Ang. La Fiura,18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90134,"<a href=""https://maps.google.com/?q=38.111831,13.346463"" title=""Via Danisinni Ang. La Fiura"">Via Danisinni Ang. La Fiura</a>"
92,tp_092,92,13.371578,38.11757,Fontanella,"38.11757, 13.371578","Via Scopari, 6",1,Tribunali o Kalsa,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.11757,13.371578"" title=""Via Scopari, 6"">Via Scopari, 6</a>"
