id,id_1,n,Nome,Indirizzo,Coordinate,X,Y,maps,osm
tp_087,087,87,FONTANELLA,"PIAZZA TONNARA, 1","38.151374, 13.373589",13.373589,38.151374,"https://maps.google.com/?q=38.151374,13.373589",https://www.openstreetmap.org/?mlat=38.151374&mlon=13.373589&zoom=18#map=18/38.151374/13.373589
tp_088,088,88,FONTANELLA,"VIA DELLA LEVA, 40","38.153294, 13.374665",13.374665,38.153294,"https://maps.google.com/?q=38.153294,13.374665",https://www.openstreetmap.org/?mlat=38.153294&mlon=13.374665&zoom=18#map=18/38.153294/13.374665
tp_089,089,89,FONTANELLA,CORTILE CASERMAGGIO,"38.110888, 13.347125",13.347125,38.110888,"https://maps.google.com/?q=38.110888,13.347125",https://www.openstreetmap.org/?mlat=38.110888&mlon=13.347125&zoom=18#map=18/38.110888/13.347125
tp_090,090,90,FONTANELLA,"VIA MICHELE FANARA, 2","38.108705, 13.307046",13.307046,38.108705,"https://maps.google.com/?q=38.108705,13.307046",https://www.openstreetmap.org/?mlat=38.108705&mlon=13.307046&zoom=18#map=18/38.108705/13.307046
tp_091,091,91,FONTANELLA,VIA DANISINNI ANG. LA FIURA,"38.111831, 13.346463",13.346463,38.111831,"https://maps.google.com/?q=38.111831,13.346463",https://www.openstreetmap.org/?mlat=38.111831&mlon=13.346463&zoom=18#map=18/38.111831/13.346463
tp_092,092,92,FONTANELLA,"VIA SCOPARI, 6","38.11757, 13.371578",13.371578,38.11757,"https://maps.google.com/?q=38.11757,13.371578",https://www.openstreetmap.org/?mlat=38.11757&mlon=13.371578&zoom=18#map=18/38.11757/13.371578
tp_093,093,93,FONTANELLA,PIAZZETTA CARUSO ARENELLA,"38.153135, 13.37399",13.37399,38.153135,"https://maps.google.com/?q=38.153135,13.37399",https://www.openstreetmap.org/?mlat=38.153135&mlon=13.37399&zoom=18#map=18/38.153135/13.37399
tp_094,094,94,FONTANELLA,VIA DEI PESCATORI,"38.199397, 13.277714",13.277714,38.199397,"https://maps.google.com/?q=38.199397,13.277714",https://www.openstreetmap.org/?mlat=38.199397&mlon=13.277714&zoom=18#map=18/38.199397/13.277714
tp_095,095,95,FONTANELLA,"PIAZZA UDITORE, 15","38.131648, 13.322712",13.322712,38.131648,"https://maps.google.com/?q=38.131648,13.322712",https://www.openstreetmap.org/?mlat=38.131648&mlon=13.322712&zoom=18#map=18/38.131648/13.322712
tp_096,096,96,FONTANELLA,VIA CASALINI ANG. LEONARDO DA VINCI,"38.126913, 13.313684",13.313684,38.126913,"https://maps.google.com/?q=38.126913,13.313684",https://www.openstreetmap.org/?mlat=38.126913&mlon=13.313684&zoom=18#map=18/38.126913/13.313684
